file,total_headings,total_words,avg_words_per_section,recommended_strategy,error
"A (S12-teorie) React Router, useReducer și Redux Toolkit.docx",14,7726,551.86,heading_chunking (optimal),
"B S7part2-CURS) Suport de Curs CSS – Selectori, Layout și Media Queries.docx",46,15876,345.13,paragraph_chunking (headings too granular),
C (S10 teorie completare) Relațiile în ORM Sequelize.docx,14,7583,541.64,heading_chunking (optimal),
"C (S11 teorie) REACT - arhitectură, utilizare și fundamente.docx",5,10591,2118.2,heading_chunking + split_oversized,
C (teorie extins) Servicii RESTful cu Node.js și Express.js – Construcția unui API în 8 Pași (1).docx,65,16639,255.98,paragraph_chunking (headings too granular),
"C 7 (teorie lung expl AT)_ Layout modern CSS – Flexbox, Grid și Design Responsiv.docx",33,15704,475.88,heading_chunking (optimal),
C S13RO (teorie) React - DataGrid și grafice.docx,10,4313,431.3,heading_chunking (optimal),
"C S6part1-CURS)  Suport de Curs CSS – Selectori, Layout și Media Queries.docx",39,8512,218.26,paragraph_chunking (headings too granular),
C S9 (curs-teorie) Persistența datelor în baze de date cu un ORM (Sequelize și SQLite).docx,21,13385,637.38,heading_chunking (optimal),
Curs programare SAS 5 - ML in SAS.docx,12,5900,491.67,heading_chunking (optimal),
D S6 (teorie lung expl AT)_ Selectori CSS și Layout.docx,19,9593,504.89,heading_chunking (optimal),
Instalare si configurare Python.docx,0,171,,paragraph_chunking (no headings),
S1 SAS EG.docx,1,3604,3604.0,heading_chunking + split_oversized,
S2 SAS EG.docx,1,2656,2656.0,heading_chunking + split_oversized,
S3 SAS EG.docx,1,1268,1268.0,heading_chunking + split_oversized,
Seminar programare SAS 1.docx,0,2604,,paragraph_chunking (no headings),
Seminar programare SAS 2.docx,0,3042,,paragraph_chunking (no headings),
Seminar programare SAS 3.docx,0,4109,,paragraph_chunking (no headings),
Seminar programare SAS 4.docx,0,3626,,paragraph_chunking (no headings),
Seminar Python1_intro.docx,0,1155,,paragraph_chunking (no headings),
Seminar Python3_pachete_pandas_matplotlib.docx,0,119,,paragraph_chunking (no headings),
Seminar Python4_Oracle.docx,0,399,,paragraph_chunking (no headings),
Seminar SAS Viya.docx,6,2847,474.5,heading_chunking (optimal),
Seminar2-Metode-netezire-exponentiala (1).docx,0,975,,paragraph_chunking (no headings),
Seminar5_C (teorie vs realitate) De la exemplele din clasă la scenarii reale.docx,20,5902,295.1,paragraph_chunking (headings too granular),
Seminar5_D (teorie extinsa)-DOM și Evenimente.docx,19,11038,580.95,heading_chunking (optimal),
